A_0,R_0,T_0,r
0.128280376,1.053284399,503.2951687,-0.293298348
1.766229041,0.335207113,467.4747841,0.153916404
1.374949511,1.995491812,424.5450297,0.011050707
0.594962055,0.105905299,411.248792,0.013282616
1.018136205,1.674566375,402.0458592,0.006906894
0.841790231,0.672394042,456.6377925,0.024363512
1.852907929,1.660297002,478.808789,0.016328176
0.285394085,1.708722329,483.9586989,-0.243805015
1.654108489,1.414205007,405.0992441,0.02186226
1.010474229,1.953228651,479.7909028,-0.146157862
1.354357544,1.898216056,439.4014684,0.006242434
1.540837965,0.847506413,427.2435002,0.041046774
1.084602636,1.736133138,488.1502621,-0.153092993
1.532615028,0.471626698,456.8468191,0.094511736
1.535414627,1.35570512,497.8206014,-0.039509792
0.976257133,0.06038548,444.0913256,0.055955546
1.42939897,1.228090178,501.9950403,-0.04529119
1.988431911,1.231760895,426.6248254,0.04941405
0.789316533,1.144101603,500.8639421,-0.15487283
1.111335086,1.984779058,495.0516773,-0.259616884
1.539149269,1.093991513,462.5389307,0.055514668
1.082243073,1.23132917,491.5135268,-0.069699221
0.875204422,1.903445562,495.2412461,-0.28762438
1.11538627,0.539699179,453.127548,0.052331293
1.395632127,1.750434609,495.5942045,-0.153095383
0.935405682,1.637007484,421.1791146,0.003327577
0.544033343,1.455254981,430.1629178,-0.012212034
0.425899647,0.026577052,427.8373932,0.016003497
0.358592815,0.299005701,419.531265,0.006479094
0.450406863,0.592731167,489.1126896,-0.040908833
1.247691631,1.197953027,503.6964229,-0.085499556
0.396439473,1.832675451,460.7159164,-0.104532082
1.607405691,1.441181071,446.5904568,0.036863216
0.240626034,0.219790435,499.0881979,-0.009060844
0.430541206,0.174441756,440.4692372,0.017200289
1.563251748,1.460064206,433.4349181,0.031003256
0.175161465,1.311711268,498.5913745,-0.312358888
0.27866485,1.443345416,519.2523142,-0.614509706
0.145628031,0.922021251,491.1576303,-0.168997981
0.397766366,1.52750717,401.1715848,-0.00318594
1.209545444,0.095458858,519.585096,0.329076098
0.159244346,1.230162892,431.3785096,-0.024065183
1.775094558,1.674581669,481.8518264,-0.004630535
1.136024678,0.380359381,500.6692934,0.137190571
1.312108506,1.964775855,424.3080193,0.009459735
0.731014232,1.71883187,497.6947195,-0.29610024
1.95476857,0.591653213,441.6519657,0.08762607
0.354487607,0.995677836,478.9924318,-0.09392549
0.432365587,0.545793149,508.8178167,-0.087167556
1.871098918,1.718260176,410.0234207,0.026352097
0.511980306,0.810822392,489.7831648,-0.075857342
1.919474666,0.794603075,400.5373112,0.028332285
1.24599929,1.056788435,507.3493004,-0.058183216
1.209121792,1.372208575,428.6774585,0.01730796
0.481525994,1.258645544,407.663716,-0.000946582
0.681862522,1.401796263,402.7561328,0.002610067
1.610877228,0.713424688,418.0542401,0.037365619
1.595084455,0.89815187,424.5747573,0.039692311
0.31627186,0.680430742,434.850936,-0.004765253
0.615025681,0.929298545,495.3135879,-0.104507353
0.502154207,1.412151097,481.7142542,-0.147905879
1.777043895,1.814076026,518.0043965,-0.314101687
1.644845939,0.252514516,457.4828428,0.120025196
1.158507093,1.070279169,495.3223989,-0.033367687
1.835568511,1.471160801,490.6674144,0.016153234
1.405718743,1.464440947,405.543031,0.016603708
1.926865538,0.765995017,502.3345671,0.201460803
0.103101136,0.216447797,517.3712283,-0.068913233
1.169565267,0.436895603,439.320737,0.046869394
1.083695052,0.340664307,420.1474663,0.028658907
0.250847068,1.504715617,422.8914169,-0.018086112
0.979274523,0.51506245,463.716085,0.050898326
1.102814752,0.43867611,443.4014261,0.04717611
0.669623171,0.072868109,473.9450132,0.073059482
1.555795282,1.465979731,457.3338577,0.029949213
0.400808918,1.713026505,474.8317853,-0.163403958
1.940093826,0.335961458,436.7001054,0.085454138
1.065381083,0.13837269,519.0348588,0.260909909
1.944890812,1.071416741,508.2581042,0.107287722
1.685329207,1.799695382,439.229132,0.027225756
0.768733328,0.522556413,470.1680398,0.030705735
0.785770948,0.220995572,478.3720647,0.075025129
0.907243422,0.536269345,415.977915,0.018211325
0.378281027,0.712700387,491.1804265,-0.083573656
0.155994315,0.302492279,429.1137136,-0.000637001
0.77898833,0.126327021,480.6728869,0.091413503
0.344627062,0.943920871,402.1572158,-0.000316261
0.379994087,0.271095965,488.4248814,0.011084775
0.750771994,1.218466927,504.9536698,-0.215634384
1.93522447,0.226263339,503.9255447,0.374460457
0.212443718,0.826630857,420.8170113,-0.006583378
